id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories
141572,Paperback,2014,7.41313,3622,1.9938,2,5,45,45,Strategy
159508,AquaSphere,2014,7.41517,3614,3.6612,2,4,100,100,Strategy
163967,Tiny Epic Galaxies,2015,7.38753,4409,2.1345,1,5,30,30,Strategy
131357,Coup,2012,7.15383,17765,1.4438,2,6,15,15,Party
58281,Summoner Wars,2009,7.36087,4784,2.2975,2,4,30,60,Customizable
167400,Ashes: Rise of the Phoenixborn,2015,7.77236,2237,2.8661,2,4,30,120,Customizable
28181,Combat Commander: Pacific,2008,8.11689,1209,3.2105,2,2,180,180,Wargames
2346,DVONN,2001,7.42886,3473,2.6957,2,2,30,30,Abstract
121408,Trains,2012,7.27674,5437,2.4031,2,4,45,45,Strategy
79127,Star Trek: Fleet Captains,2011,7.59819,2611,3.0556,2,4,75,75,Strategy Thematic
144189,Fire in the Lake,2014,8.15496,1226,3.989,1,4,180,180,Wargames
36235,The Duke,2013,7.61299,2360,2.5673,2,2,30,30,Abstract
155987,Abyss,2014,7.34396,4559,2.378,2,4,30,60,Strategy
171668,The Grizzled,2015,7.385,3917,1.9073,2,5,30,30,Thematic
103886,Star Wars: The Card Game,2012,7.41848,3988,2.925,2,2,60,60,Customizable
21790,Thurn and Taxis,2006,7.13446,14644,2.2637,2,4,60,60,Family Strategy
133473,Sushi Go!,2013,7.15321,14074,1.1691,2,5,15,15,Family
1353,Time's Up!,1999,7.36993,3739,1.2234,4,18,90,90,Party
119432,Snowdonia,2012,-1,-1,-1,-1,-1,-1,-1,-1
156129,Deception: Murder in Hong Kong,2014,7.5908,2374,1.6203,4,12,20,20,Party
137988,Zombicide Season 2: Prison Outbreak,2013,7.6284,2523,2.7333,1,6,90,180,Thematic
31730,Chicago Express,2007,7.23539,5639,2.7893,2,6,60,60,Strategy
70512,Luna,2010,7.42335,3032,3.3083,1,4,60,100,Strategy
20963,Fury of Dracula (second edition),2005,7.21357,8011,2.9415,2,5,180,180,Thematic
9823,Advanced Squad Leader: Starter Kit #1,2004,7.76656,1859,3.7267,2,2,120,120,Wargames
82420,Summoner Wars: Guild Dwarves vs Cave Goblins,2009,7.68681,1957,2.2424,2,4,30,30,Customizable Strategy
30869,Thebes,2007,7.19194,7288,2.1675,2,4,60,60,Family
82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,7.63518,2110,2.3026,2,4,30,30,Customizable Strategy
166669,San Juan (second edition),2014,7.6884,1853,2.1205,2,4,45,60,Strategy
158275,Marvel Dice Masters: Uncanny X-Men,2014,7.48533,2816,2.3714,2,2,15,60,Customizable
155624,Specter Ops,2015,7.47331,2807,2.3966,2,5,60,90,Strategy Thematic
38996,Washington's War,2010,7.68443,1841,2.8462,2,2,90,90,Wargames
143519,Quantum,2013,7.3636,3791,2.4439,2,4,60,60,Abstract Strategy
110277,Among the Stars,2012,7.26324,4740,2.2451,2,4,30,30,Strategy
31999,TZAAR,2007,7.66125,1880,2.5793,2,2,30,60,Abstract
172287,Champions of Midgard,2015,7.62578,2064,2.5361,2,4,60,90,Strategy
11,Bohnanza,1997,7.07398,26795,1.678,2,7,45,45,Family
65901,Age of Industry,2010,7.48309,2515,3.3682,2,5,120,120,Strategy
31563,Middle-Earth Quest,2009,7.41278,3302,3.5266,2,4,180,180,Thematic
15364,Vegas Showdown,2005,7.22828,5321,2.3593,3,5,75,75,Strategy
30380,Cuba,2007,7.18817,6792,3.2714,2,5,75,120,Strategy
27746,Colosseum,2007,-1,-1,-1,-1,-1,-1,-1,-1
4390,Carcassonne: Hunters and Gatherers,2002,7.15335,9328,1.9227,2,5,30,45,Family
3201,Lord of the Rings: The Confrontation,2002,7.21962,5763,2.1925,2,2,30,30,Strategy
20437,Lords of Vegas,2010,-1,-1,-1,-1,-1,-1,-1,-1
113294,Escape: The Curse of the Temple,2012,-1,-1,-1,-1,-1,-1,-1,-1
128780,Pax Porfiriana,2012,7.71577,1710,3.436,1,6,120,120,Strategy
41002,Vasco da Gama,2009,7.33082,3613,3.2407,2,4,60,120,Strategy
47,Chinatown,1999,7.21651,5443,2.3041,3,5,60,60,Family Strategy
