id,title,year,avg rating,no. of ratings,avg complexity,min players,max players,min play time,max play time,categories,types,mechanisms,description,image
Choose from 6 fun characters with unique player powers and beautiful illustrations, including the Wanna-be Ninja, Modern Cowboy,  Crazy Cat Lady! No two games are alike since there are many gameplay variations.

FEATURES


     Family friendly board game of capture the flag
     Tactical planning, guessing, and teamwork
     Simple to learn but great depth of gameplay
     Wooden game pawns carry wooden flags


GAMEPLAY

Flag Dash takes place over multiple rounds until one team returns home with the opposing team's flag or collects a complete set of flags the opposing characters are wearing. In every round, each player plans two moves in advance and for each move, chooses to move either the runner they control  with a unique special ability  or the defender they share with their teammate.

ROUND SUMMARY

PHASE 1: PLAN MOVES - Each player secretly plans two moves with an action card and priority token face-down for each move.

PHASE 2: RESOLVE MOVES (2X) - Each player reveals their priority token for the first move. Each player makes their first move in order from lowest to highest numbered token and discards their priority token. Repeat for second move.

PHASE 3: CLEANUP - Each player returns action cards to hand.

COMPONENTS


     6 wooden pawns
     2 wooden flags
     32 action cards
     6 character cards
     78 game tokens
     7 other wooden pieces
     4 player screens to hide tokens
     1 double-sided game board
     Rulebook


",http://cf.geekdo-images.com/1ZXcJYfGU6OzZHR9w81SiK2fdcY=/fit-in/200x150/pic3066928.png

97329,El mundo de ́guila Roja,2011,6.98684,38,2,2,4,45,45,,Card Game Collectible Components Movies / TV / Radio theme ,Hand ManagementVariable Player Powers,"El Mundo de guila Roja (The World of Red Eagle) is a collectable card game based on the popular TV series of guila Roja, a success of TVE (Televisin Espaola) and the producer Globomedia. The TV serie present the adventures of a avenging hero with martial arts training in the spanish XVII century.

The game has been designed by Globomedia and developed by a group of experts in collectable card games directed by Omar Sagol and Joel Calafell.

The basic collection includes 154 cards with the places, characters and more emblematic events of the TV series. The game is based on four factions, each one of as it has his own thematic deck and way to get the victory:

- The manipulative Clergy
- The worker People
- The powerful Royalty
- The dark Conspirators.

The players must build a deck of 40 cards of his faction and neutral cards. This cards are played over the table to attack, defend, travel and activate special powers. The first player that reach 25 (or more) victory points and keep this avantage for one turn, will be the winner.

The games comes in 3 presentations:

- Starter Decks: with 2 ready-to-play decks. Each set presents 2 decks:Conspirator  Royalty and Town  Clergy.
- Theme Decks: with one of the four factions in 56 cards decks.
- Booster Packs: with assorted 5 cards in common, uncommon and rare type card.


El Mundo de Aguila Roja es un Juego de Cartas Coleccionable (JCC) basado en la famosa serie de televisin espaola, ambientada en el siglo XVII y que narra las aventuras de un justiciero vengador con entrenamiento de artes marciales.

En este juego, los jugadores pueden escoger a que bando pertenecer: el Clero manipulador, la poderosa Casa Real, los oscuros Conspiradores o el trabajador Pueblo. Los jugadores debern preparar un mazo de 40 cartas compuestas de Sucesos, Personajes y Lugares que irn jugando sobre la mesa para viajar, atacar, defenderse y activar habilidades especiales.

Cada bando tiene diferentes formas de conseguir la victoria que se consigue cuando uno de los jugadores alcanza 25 puntos o ms y se mantiene victorioso un turno.

El juego viene en 3 presentaciones:

- Set de Iniciacin para 2 jugadores. Cada set con 2 barajas Conspiradores y Casa Real y Pueblo y Clero
- Baraja temtica: con cada una de las 4 facciones en barajas de 56 cartas.
- Sobres de refuerzo: con 5 cartas cada uno (rara, infrecuente y comunes).

",http://cf.geekdo-images.com/dqNBq7hS-1Sjs36fhJ14OjxUI0c=/fit-in/200x150/pic979815.jpg

64331,Bar-Lev: The 1973 Arab-Israeli War,1977,7.25333,30,3.8,2,2,360,360,Wargames,Modern Warfare Wargame ,Hex-and-Counter,"The 1977 release of Bar-Lev by GDW, though based on the 1974 release by Conflict Games (designed by John Hill), is a completely new game with a new designer (Frank Chadwick).

Bar-Lev is a complete historical simulation game of the 1973 War of Atonement between Israel, Egypt, Syria, and the Arab Allies. Either of the two fronts (the Golan Heights and the Suez Canal) may be gamed separately, or both can be linked to simulate the course of the entire war. Bar-lev is of moderate to advanced complexity.

GDW's Bar-Lev is not an overly complex game by today's standards, with 10 pages of (densely written) rules which can be played without the 3 pages of optional Air rules. The map graphics have been improved from the first edition's garish orange map.

Scale: Operational, Battalion-Regiment, 1 Day per turn, 3-6 Km/hex

Turn Sequence: 1. Recon units move, 2. Artillery phase, 3. Movement phase, 4. Enemy recon units move,  5. Direct Fire phase,  6. Enemy units regroup

Components: 
Two 18 x 24 inch maps 
528 Counters (with a 3rd combat factor for defense not in the first edition)
9 Charts: Israeli Armed Forces, Israeli Mobilization/Refit, Egyptian Armed Forces, Syrian Armed Forces, Ground CRT/Unit Identification, Air CRT/Unit Identification, Terrain Effects, Egyptian Operational Points, Syrian Operational Points

",http://cf.geekdo-images.com/NEX0KumYF_r6G9elEkT_-EqADb0=/fit-in/200x150/pic48157.jpg

133524,Caro,2012,6.26522,69,1.9091,2,4,15,15,,Abstract Strategy ,Pattern BuildingTile Placement,"The strategy game for the whole family

With Caro, lateal thinking is required to win game points. One after the other, the players lay one square next to another, and produce scoring colour combinations. When doing this, the caros need to be placed cleverly, so that the maximum number of points can be collected.

Easier said than done, because space is limited and not every combination is allowed! And there are also other players in the game, who place obstacles in the way at every opportunity.

",http://cf.geekdo-images.com/dfh32rZ5UlA4YC9VBn77d2nrGus=/fit-in/200x150/pic1558293.jpg

69582,Buzz It!,2010,5.75365,274,1.1333,3,15,30,30,,Card Game Electronic Humor Party Game Trivia ,Card Drafting,"Buzz It! is a card game with a electronic timer.

The players all receive 3 cards which each have 2 questions on them.  Each at their turn can ask one of the two questions to the others.  When the questions is asked each of the other players must give an answer to the question within a time limit.  The players must keep on giving answers until one player can't answer or can't answer quickly enough.  This player then receives the question card as a negative point.

The timer is handed over to the next player and he/she reads one of the questions on his/her card.

The game stops when all the players have used their own question cards and the player with the fewest received cards wins the game.

The timer can be set on 5 or 8 seconds and makes a buzzing sound (hence the name)

",http://cf.geekdo-images.com/qQ3rrcr0XJE7AMNWuB9DBkT4FYs=/fit-in/200x150/pic705091.jpg

88113,Isaac,2011,7.24545,33,2.5,2,2,15,15,Abstract,Abstract Strategy ,Tile Placement,"Isaac is an abstract strategy game for two players.

The game is divided in two different phases, placement and scoring.

During the placement, a player places one of his rectangular pieces on the available spaces of a 1010 square grid board.

During the scoring, each player removes one of his pieces from the board, scoring a number of points equal to the number written on the removed piece times the number of pieces that lie on the row/column from which the piece was removed. A piece can be removed only if it is at least long as the longest piece already removed by the same player.

Each player uses his/her own counter to keep track of his/her points but the counter itself is placed on the board (that is, the board is also the score track). The presence of a counter on the row/column from which a piece is taken doubles the points scored. A player can decide to score less points than he/she earned, therefore allowing to place the score counter in a more convenient place.

You can play Foundations and Hari with an Isaac set.

Source: Author's description

Online Play


     http://www.iggamecenter.com/ - igGameCenter (real-time)


Awards:

Winner of the NESTORGAMES continuous abstract game design contest
Winner of the Abstract Game Design Contest at the Cald Tutto  numero Mathematical Festival 2011

",http://cf.geekdo-images.com/ggxP-7Ss-uvp9EOwRT8BmN7P_UQ=/fit-in/200x150/pic1098998.jpg

30023,Ligny,1976,7.05,35,1.9,2,2,120,120,Wargames,Napoleonic Wargame ,Hex-and-Counter,"Ligny
Incomplete Victory

Napoleon's strategy was to cross the border in secret and attack the Allied armies before they could combine and outnumber his army. If he could engage them separately, then his army would outnumber theirs in individual engagements. To that end, he had sent Ney's 2nd Corps and 3rd Cavalry Corps to block the Allied army at the crossroads of Quatre Bras on the same day, so that it could not proceed down the Nivelles-Namur road to bolster the right of the Prussian position.

The Prussians had deployed along the Ligny Brook. They held all the farmhouses and a good defensive position, with most of their advance forces under cover. In fact the Prussian three army corps' positions were so good, that Napoleon at first was deceived into thinking there was only one army corps. However, Blcher had overstretched his left flank, and exposed his right to French artillery.

Included in the Napoleon's Last Battles Quadrigame.  It was sold separately as a folio game.

Folio version includes rules, a 17 x 22 map and 100 counters.

",http://cf.geekdo-images.com/QRQUYFYiY5sqI4Sjv0txF2CSJR0=/fit-in/200x150/pic219526.jpg

21342,The Great Chili Cookoff,2006,5.90341,170,1.5143,2,7,30,30,,Card Game ,Trick-taking,"Players try to take tricks to capture the ingredients necessary to complete their secret recipe.  Taking a trick requires playing a high card, but if cards are tied, the player who played that value last gets the trick--so there is a HUGE disadvantage in going first.

",http://cf.geekdo-images.com/Skk9quirzww7_-wSyFtRiWkj2uM=/fit-in/200x150/pic139386.jpg

728,The Sun Never Sets,1997,6.9125,40,2.8571,2,2,180,180,Wargames,Post-Napoleonic Wargame ,Hex-and-Counter,"The Sun Never Sets is a mid-to-high complexity operational level game of the colonial wars fought by the British during the 19th century.  It includes three separate games, namely March to Peking, Zulu War and The Sudan.  The game includes a core set of rules used in all three scenarios and scenario-specific rules unique to each game.  Optional rules add further chrome and complexity to the game.

March to Peking depicts the Anglo-French attack on China in 1860 to force it to open itself up to European trade.  Special rules allow for the veteran Chinese Hunan army (engaged fighting the Taiping rebels elsewhere) to march to Peking's relief.

Zulu War depicts the British campaigns in 1879 against the Zulus in South Africa.

The Sudan covers three separate campaigns; the 1883-85 Mahdist uprising in Sudan, the defence of Khartoum in 1884-85, and the recapture of Sudan in 1896-98.

The game consists of rules, two 34 x 22 maps and 620 counters.

",http://cf.geekdo-images.com/72s6MUzcOOa8KmwPnJV439x0qJ4=/fit-in/200x150/pic477287.jpg

90855,Scavengers,2011,6.37581,74,1.7,2,4,30,30,,Animals Card Game ,Hand Management,"From the publishers website:

Each year the Hamburger family escapes into the great outdoors for a little rest and relaxation. During their stay eager animals scavenge for food that has been left unattended to take home and make meals of their own.

Light enough to delight brand new gamers and yet versatile enough to intrigue the saltiest veterans, this game is a must have! Scavengers is a card-based family game. The game's compact box makes it easy to take camping or over to the neighbors for game night. This game is sure to leave your friends and family hungry for more!

Game Play: Each round players compete for food scraps at three different camps to try and fill up their food cards. Competition is both offensive and defensive as players try to claim the food scraps they need whilst blocking others from getting the food scraps they want. Players win food scraps at camps by playing Scavenger cards with varying strengths and special effects that affect game play and alter the victory conditions at each camp. The first player to fill up all of their food cards with food scraps is the winner!

",http://cf.geekdo-images.com/Xz3H4IiAgnPiktmDCrPEpTbW-Q8=/fit-in/200x150/pic934986.jpg

147145,Primate Fear,2013,6.2525,80,1,2,6,45,45,,Card Game Humor Zombies ,Dice RollingPlayer EliminationTake That,"Primate Fear is set in the same world as Gigantoskop's Spank the Monkey and is compatible with that game and its expansions, but this time when you start monkeying around in a junkyard, you'll find it a much darker experience as this junkyard was built on an old haunted cemetery.

As in Spank the Monkey, players scrounge around trying to find junk to build towers and locate parts for reinforcements to make the towers stronger, but they're not trying to reach the monkey and spank it this time. Oh, no. On the contrary, they are trying to get as far away from it as possible because this monkey is not a mischievous nuisance but rather a reanimated zombie monstrosity of an ape. Once the players have stumbled over all the monkey parts and the monkey awakes, it will climb after the players, eating the brains of the ones it catches until only one player remains  the winner.

In game terms, each player starts with a hand of five cards. On a turn, a player draws 1-2 cards, then plays at most one Junk card to start or continue building his tower and at most one Reinforcement card to strengthen his highest Junk card. He can also play one or more Attack cards on opponents to try to demolish their towers, lowering them within reach of Frankenmonkey. Players can use Defense cards to try to ward off attacks, with the active player rolling a die to see whether an attack succeeds. If it does, that player's tower might further crumble as the junk collapses on top of other junk.

Each time a player uses a card with a monkey claw on it, a new part is added to Frankenmonkey on the assembly board; if the monkey is complete, then the claw raises the monkey up one level on the height board. At the end of each player's turn, the monkey (if still complete) rises one level, eliminating players at that same height.

Players can use Primate Fear cards with Spank the Monkey rules and vice versa, or they can combine the games, with the goal being to spank the monkey before anyone else while still having your brain intact.

Integrates with:


    Spank the Monkey


",http://cf.geekdo-images.com/jHfRHi2DaUBvPMJGolGQRm-4EXo=/fit-in/200x150/pic1758768.jpg

114,Ransom,1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1

177053,Road To Infamy,2016,7.57816,38,1,2,4,30,45,,Card Game Mafia ,Auction/BiddingHand ManagementSimultaneous Action SelectionTake ThatTrick-taking,"Road to Infamy, is a fast-paced bidding, gangster-themed game for 2-4 players. Road to Infamy is all about anticipating what moves your opponents will make, taking risks, and playing counter moves. Its simple enough to learn in 3 minutes, yet deep enough where you are discovering new strategies every time you play it. But best of all, its always your turn.

Players start with a hand of 6 bids. Bids are valued 1 - 5 with the lower valued cards containing some game changing actions. Players chose a bid and place it face down in the ready position. When everyone is ready the bids are simultaneously revealed. The bids colors signify what you are bidding on. Red bids recruit gangsters with unique abilities, green bids buy various types of Contraband (worth victory points), and blue bids bribe the Cop, which protects your points and forces the competition to lose theirs. After 3 rounds the highest bidder for a given color wins the corresponding prize. Players take their winnings and reset the board for the next hand.

Player interaction comes from the actions on the lower numbered bid cards. Actions allow you to steal your rivals contraband, assassinate their mercenaries, and put the odds in your favor.

Each gangster has their own unique ability that is active throughout the entire game. Depending on which gangsters you recruit, different strategies will become available. For example, the Mob Boss gives you an additional Victory Point for each Gangster on your team, this card pairs well with the Recruiter who gives you a permanent +2 to your red bid total. This combination helps you outbid your opponents for new gangsters and earn you victory points when you do so.

The game ends after 12 rounds of bidding. The player with the most victory points wins.

",http://cf.geekdo-images.com/7N8zecovGg6i3lKNBb0BHgvWPps=/fit-in/200x150/pic2578668.png

145478,HeartSwitch,2013,6.24776,67,2.1667,3,6,0,0,,Card Game ,Trick-taking,"The object of HeartSwitch  a card game inspired by Hearts  is to have the lowest score at the end of the game. The sixty-card deck consists of the standard 52-card deck, plus four Magicians and four Witches, two good and two bad, with Witches ranking between Jacks and Tens.

As in Hearts, HeartSwitch is a trick-taking game with fairly standard rules. The lead player plays a single card, then each other player must follow suit, if possible  except that a player can always choose to play a Magician. A Magician is a null card that can never win a trick (unless a trick consists only of Magicians). Whoever plays the highest card in the suit led collects the cards, then leads to the next trick.

After everyone's hand is empty, players score points for the cards they've collected. As in Hearts, each heart collected is one point, while the Queen of Spades is 13 points. What's new in HeartSwitch is that the Witch of Spades is worth 5 points, while the Witch of Clubs cancels points earned for either of the Spades cards. The Witch of Hearts doubles points earned from hearts up to a maximum of 15 points, while the Witch of Diamonds knocks up to 5 points off your score. If a player shoots the moon by collecting all the hearts and either the Witch or Queen of Spades (or both), that player scores no points while everyone else scores 20, 25 or 30 points.

Players continue playing rounds until one player reaches 70 points, at which time the player with the lowest score wins. Alternatively, players can agree to play a set number of rounds, with the lowest-scoring player winning the game.

",http://cf.geekdo-images.com/5y2DvoENwnsU94gE_az5HckwrAM=/fit-in/200x150/pic1723518.jpg

209289,The Treasure of Isla Tortuga,2016,7.32857,35,1.6667,3,5,15,20,,Card Game Party Game Pirates ,Press Your Luck,"A game of pirates and treasures! Arr!!!
Let The Treasure of Isla Tortuga take you along the dangerous waters of the Spanish Main and explore its coasts in search of wonderful treasures.
Get the best equipment for this trip and recruit the most fearless crew and, if you arrive late to find the treasure, you will always have the chance to steal it from the others!!!

In every turn of The treasure of Isla Tortuga, the active player draw cards from the main deck, trying to find the card most interesting for his ship. Every card has a cost in one of the four posible resources, but also contributes with some to your resource pool. This way, the most cards you reveal, the most resources you get and the better are the cards you may adquire, but be careful! Every card has a disaster flag asociated. Show three identical flags and you are screw!! Also, if you show an All aboard!! card, you may instead try to board other player's ship to steal a treasure or object. This is why, before adquiring big treasures, you may want to hire some though guys to help you protect it...

There are four types of cards in The Treasure of Isla Tortuga:

     Decks to expand your ship, so you can fit more cards in it.
     Objects that give you extra resources or abilities.
     Treasures, that give you victory points.
     Crew, that either gives you victory points or help you in boardings. 




",http://cf.geekdo-images.com/he19DMOEa9G3fjTJCamFfOyePe0=/fit-in/200x150/pic3195620.jpg

129311,Khyber Rifles: Britannia in Afghanistan,2012,6.71951,41,1.8,2,2,30,30,,Post-Napoleonic Wargame ,Area Control / Area InfluenceArea MovementCampaign / Battle Card DrivenTile Placement,"From DecisionGames.com:

Britannia in Afghanistan

In 1842 Afghan rebels destroyed a British army as it tried to fight its way from Kabul to the safety of the Khyber Pass. The British launched an expedition to avenge that defeat, and that led to another campaign in Central Asias Great Game. Khyber Rifles is a two-player game of that fateful year in Afghanistan.

One player commands British forces, including the regiments and battalions forming the armies of Gens. Nott, Pollock and Elphinstone. The other player controls various Afghan tribal contingents, led by Akbar Khan. The point-to-point map covers eastern Afghanistan and Indias Northwest Frontier area, including the famous Khyber Pass.

Khyber Rifles is part of the Hand of Destiny mini-game series. Each player has a unique deck of Campaign Cards. They generate movement abilities, combat bonuses and historical events. Accessing the right card at the right time lets the player concentrate forces to win that great victory against all oddsor perhaps go down to inglorious defeat. Some of the cards include: Ambush, Jirga Loya, Mad Dash and Relief Force.

Combat is resolved via a quasi-tactical procedure. There are special rules for: elite British units, fanatic Afghan Ghazis, camp followers, Shah Shujahs army, and irregular units such as Broadfoots Pioneers.

",http://cf.geekdo-images.com/KZfkDLBJiiKMjE4c9trzTnZxO2w=/fit-in/200x150/pic1393193.jpg

26124,Faerie Tales,2006,5.9027,148,2.1905,2,4,45,45,,Adventure Bluffing Exploration Fantasy Fighting Medieval ,Action Point Allowance SystemArea Control / Area InfluenceMemoryModular BoardPoint to Point Movement,"For Faerie Tales
In this strategy and fantasy board game, you take control of one of the kingdoms after dragons awake. The game begins with tiles placed face down to build the territory.  Players explore the territory while fighting enemy troops with knights, soldiers, a Pegasus, and captured dragons.  War is only one strategy to play -- players can also try to take the princess to the enemy castle and force her marriage to the local prince.

For Draco Mundis
The players have the responsibility of a team of various adventurers trying to gain victory points by exploring the jungle. All players start with exactly the same team.

First they must lay down their pawns (characters, terrains) and then, in turn, realize two actions, like move, fight, or explore.

In order to gain victory points, they can kill their opponents or manage to place some of their characters in strategic points on the map.

Each pawn has its own constraints, e.g. all cannot move in every direction, or have the same movement points and fight points. Some have special abilities.

",http://cf.geekdo-images.com/cbrO9BynshoYhvabx6l9Qvlnicc=/fit-in/200x150/pic155732.jpg

37097,Quincunx,2008,7,32,2,2,4,30,30,,Card Game Print & Play ,Hand Management,"Quincunx is a Decktet game for 2 to 4 players (with a solitaire variant).

The game is played on a five by five grid. On your turn, you add one card to the spread, score points depending on the connections between the played card and nearby cards, and possibly draw cards depending on those connections. You are penalized for any cards left in your hand at the end of the game.

",http://cf.geekdo-images.com/Y-G5K6InTWss9vz8kOPPtDZsGXc=/fit-in/200x150/pic347862.jpg

112445,Disaster Looms!,2012,5.95569,167,3.1333,2,4,90,90,Strategy,Economic Negotiation Science Fiction Space Exploration Territory Building ,Area Control / Area InfluenceArea MovementAuction/BiddingPick-up and DeliverTile Placement,"The Earth is probably doomed, and rumors and speculation run rampant. Newspaper headlines from across the globe stir the populace to desperation:

MELTING POLAR ICE CAPS RISING SEA LEVELS POLLUTION! OVERPOPULATION! NUCLEAR WINTER? RAVENOUS BLACK STAR GOATS? WILL METEORS STRIKE YOUR CHILDREN? DISASTER LOOMS!

